source_variant=debug; package=com.shaterguy.chatgptselfrun.drive; version=2.3.2-dev19; live_service=false; image_type=Android_UiAutomation_screenshot
360-light-1.0-main-empty.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-2.0-main-reserved.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-main-locked.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-main-done.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-main-error.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-new-work.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-new-chat-ime.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-history.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-settings.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-drive.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-dark-1.0-main-empty.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-main-running.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-main-submitting.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-main-paused.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-main-reserved.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-main-locked.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-main-done.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-main-error.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-new-work.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-new-chat-ime.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-history.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-settings.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-1.0-drive.png 360x1000; widthDp=360; fontScale=1.0; night=32
360-dark-2.0-main-empty.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-main-running.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-main-submitting.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-main-paused.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-main-reserved.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-main-locked.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-main-done.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-main-error.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-new-work.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-new-chat-ime.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-history.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-settings.png 360x1000; widthDp=360; fontScale=2.0; night=32
360-dark-2.0-drive.png 360x1000; widthDp=360; fontScale=2.0; night=32
840-light-1.0-main-empty.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-main-running.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-main-submitting.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-main-paused.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-main-reserved.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-main-locked.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-main-done.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-main-error.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-new-work.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-new-chat-ime.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-history.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-settings.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-1.0-drive.png 840x1000; widthDp=840; fontScale=1.0; night=16
840-light-2.0-main-empty.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-main-running.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-main-submitting.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-main-paused.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-main-reserved.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-main-locked.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-main-done.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-main-error.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-new-work.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-new-chat-ime.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-history.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-settings.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-light-2.0-drive.png 840x1000; widthDp=840; fontScale=2.0; night=16
840-dark-1.0-main-empty.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-main-running.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-main-submitting.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-main-paused.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-main-reserved.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-main-locked.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-main-done.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-main-error.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-new-work.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-new-chat-ime.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-history.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-settings.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-1.0-drive.png 840x1000; widthDp=840; fontScale=1.0; night=32
840-dark-2.0-main-empty.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-main-running.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-main-submitting.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-main-paused.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-main-reserved.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-main-locked.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-main-done.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-main-error.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-new-work.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-new-chat-ime.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-history.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-settings.png 840x1000; widthDp=840; fontScale=2.0; night=32
840-dark-2.0-drive.png 840x1000; widthDp=840; fontScale=2.0; night=32
SOURCE_SHA=99a744cbbfdb7adc04a462c0538fbd52c5fc9524
SCREENSHOT_VARIANT=debug; CANONICAL_APK_VARIANT=qaApp; SAME_SOURCE=true
